year,tree,modalidad,area,carrera,campus,codigo,url,index_page
2021,licenciatura,escolarizado,3,INFORMATICA,FES CUAUTITLAN,30801005,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/30801005.html,35.html
2021,licenciatura,escolarizado,3,PLANIF PARA EL DESARROLLO AGROPECUARIO,FES ARAGON,30904005,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/30904005.html,35.html
2021,licenciatura,escolarizado,3,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLITICAS Y SOCIALES,31000045,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/31000045.html,35.html
2021,licenciatura,abierta,3,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLITICAS Y SOCIALES,31000046,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/31000046.html,36.html
2021,licenciatura,escolarizado,3,RELACIONES INTERNACIONALES,FES ACATLAN,31002005,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/31002005.html,35.html
2021,licenciatura,abierta,3,RELACIONES INTERNACIONALES,FES ACATLAN,31002006,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/31002006.html,36.html
2021,licenciatura,escolarizado,3,RELACIONES INTERNACIONALES,FES ARAGON,31004005,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/31004005.html,35.html
2021,licenciatura,abierta,3,RELACIONES INTERNACIONALES,FES ARAGON,31004006,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/31004006.html,36.html
2021,licenciatura,escolarizado,3,SOCIOLOGIA,FACULTAD DE CIENCIAS POLITICAS Y SOCIALES,31100045,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/31100045.html,35.html
2021,licenciatura,abierta,3,SOCIOLOGIA,FACULTAD DE CIENCIAS POLITICAS Y SOCIALES,31100046,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/31100046.html,36.html
2021,licenciatura,escolarizado,3,SOCIOLOGIA,FES ACATLAN,31102005,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/31102005.html,35.html
2021,licenciatura,escolarizado,3,SOCIOLOGIA,FES ARAGON,31104005,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/31104005.html,35.html
2021,licenciatura,escolarizado,3,TRABAJO SOCIAL,ESCUELA NACIONAL DE TRABAJO SOCIAL,31200155,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/31200155.html,35.html
2021,licenciatura,abierta,3,TRABAJO SOCIAL,ESCUELA NACIONAL DE TRABAJO SOCIAL,31200156,https://www.dgae.unam.mx/Licenciatura2021/resultados/3/31200156.html,36.html
2021,licenciatura,escolarizado,4,ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,43707005,https://www.dgae.unam.mx/Licenciatura2021/resultados/4/43707005.html,45.html
2021,licenciatura,escolarizado,4,ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,FACULTAD DE FILOSOFIA Y LETRAS,43700105,https://www.dgae.unam.mx/Licenciatura2021/resultados/4/43700105.html,45.html
2021,licenciatura,escolarizado,4,ARTE Y DISEÑO,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,43407005,https://www.dgae.unam.mx/Licenciatura2021/resultados/4/43407005.html,45.html
2021,licenciatura,escolarizado,4,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",43402055,https://www.dgae.unam.mx/Licenciatura2021/resultados/4/43402055.html,45.html
2021,licenciatura,escolarizado,4,ARTES VISUALES,FACULTAD DE ARTES Y DISEÑO,40100025,https://www.dgae.unam.mx/Licenciatura2021/resultados/4/40100025.html,45.html
2021,licenciatura,escolarizado,4,BIBLIOTECOLOGIA Y ESTUDIOS DE LA INFORMACION,FACULTAD DE FILOSOFIA Y LETRAS,40200105,https://www.dgae.unam.mx/Licenciatura2021/resultados/4/40200105.html,45.html
2021,licenciatura,escolarizado,4,CANTO,FACULTAD DE MUSICA,40300135,https://www.dgae.unam.mx/Licenciatura2021/resultados/4/40300135.html,45.html
2021,licenciatura,escolarizado,4,COMPOSICION,FACULTAD DE MUSICA,40400135,https://www.dgae.unam.mx/Licenciatura2021/resultados/4/40400135.html,45.html
2021,licenciatura,escolarizado,4,DESARROLLO Y GESTION INTERCULTURALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEON,42906005,https://www.dgae.unam.mx/Licenciatura2021/resultados/4/42906005.html,45.html
2021,licenciatura,escolarizado,4,DESARROLLO Y GESTION INTERCULTURALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MERIDA,42908005,https://www.dgae.unam.mx/Licenciatura2021/resultados/4/42908005.html,45.html
2021,licenciatura,escolarizado,4,DESARROLLO Y GESTION INTERCULTURALES,FACULTAD DE FILOSOFIA Y LETRAS,42900105,https://www.dgae.unam.mx/Licenciatura2021/resultados/4/42900105.html,45.html
2021,licenciatura,escolarizado,4,DISEÑO GRAFICO,FES ACATLAN,40602005,https://www.dgae.unam.mx/Licenciatura2021/resultados/4/40602005.html,45.html
2021,licenciatura,escolarizado,4,DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,40500025,https://www.dgae.unam.mx/Licenciatura2021/resultados/4/40500025.html,45.html
2021,licenciatura,escolarizado,4,DISEÑO Y COMUNICACION VISUAL,FES CUAUTITLAN,40501005,https://www.dgae.unam.mx/Licenciatura2021/resultados/4/40501005.html,45.html
2021,licenciatura,escolarizado,4,EDUCACION MUSICAL,FACULTAD DE MUSICA,40700135,https://www.dgae.unam.mx/Licenciatura2021/resultados/4/40700135.html,45.html
2021,licenciatura,escolarizado,4,ENSEÑANZA DE INGLES,FES ACATLAN,40802005,https://www.dgae.unam.mx/Licenciatura2021/resultados/4/40802005.html,45.html
2021,licenciatura,escolarizado,4,ESTUDIOS LATINOAMERICANOS,FACULTAD DE FILOSOFIA Y LETRAS,40900105,https://www.dgae.unam.mx/Licenciatura2021/resultados/4/40900105.html,45.html
